                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0972,                 4.1566,                 3.9472,                0.00223,                0.69459,                0.00776,                0.00119,                 3.0174,                 4.5697,                 3.7596,             0.00054698,             0.00054698,             0.00054698
                      2,                 2.6474,                 3.3916,                 3.2807,                0.00209,                0.01034,                0.00086,                0.00024,                 4.0759,                 4.8884,                  4.574,              0.0010715,              0.0010715,              0.0010715
                      3,                 2.4418,                 2.9692,                 2.9858,                0.30319,                0.21957,                0.17877,                0.05831,                  2.514,                 3.3947,                   2.88,              0.0015645,              0.0015645,              0.0015645
                      4,                 2.2779,                 2.6251,                 2.8047,                0.26643,                 0.5486,                0.28123,                 0.1055,                  1.947,                 5.0388,                 2.3362,              0.0015255,              0.0015255,              0.0015255
                      5,                 2.0917,                 2.3379,                 2.6713,                 0.4112,                0.67857,                0.47621,                0.23557,                   1.61,                 2.2455,                  2.095,              0.0015255,              0.0015255,              0.0015255
                      6,                 1.9058,                 2.1168,                 2.4771,                0.37058,                0.63008,                 0.3849,                0.18929,                 1.6787,                 2.3682,                  2.071,              0.0014784,              0.0014784,              0.0014784
                      7,                 1.8403,                 2.0069,                 2.4063,                0.44257,                0.80825,                0.51754,                0.30184,                 1.3104,                 2.0685,                 1.7499,              0.0014312,              0.0014312,              0.0014312
                      8,                 1.7612,                 1.9056,                 2.2682,                0.49261,                0.85805,                0.59424,                0.33542,                 1.5138,                 1.7624,                 1.9338,              0.0013841,              0.0013841,              0.0013841
                      9,                 1.5741,                 1.6974,                 2.1116,                 0.4673,                0.94051,                0.57281,                0.39771,                 1.1629,                 1.7445,                  1.516,              0.0013369,              0.0013369,              0.0013369
                     10,                 1.5021,                 1.6541,                 2.0179,                0.41454,                 0.9341,                0.57114,                0.39099,                 1.1729,                 1.8047,                 1.6191,              0.0012898,              0.0012898,              0.0012898
                     11,                 1.4311,                 1.5733,                 1.9365,                0.51799,                0.91668,                0.65709,                0.48764,                 1.0622,                 1.3028,                 1.3831,              0.0012426,              0.0012426,              0.0012426
                     12,                 1.3998,                 1.4929,                 1.8853,                0.49936,                0.98618,                0.56829,                0.42001,                0.97878,                 1.1964,                 1.3399,              0.0011955,              0.0011955,              0.0011955
                     13,                 1.3226,                 1.4291,                 1.8131,                0.49758,                0.94731,                0.64184,                0.43919,                 1.1769,                  1.392,                 1.6076,              0.0011483,              0.0011483,              0.0011483
                     14,                 1.2816,                  1.376,                  1.774,                0.51635,                0.92397,                0.65405,                0.44811,                 1.1862,                 1.2128,                 1.5153,              0.0011012,              0.0011012,              0.0011012
                     15,                 1.1995,                 1.3377,                  1.698,                0.50269,                0.99308,                0.69237,                0.54868,                 0.8522,                 1.0757,                  1.228,               0.001054,               0.001054,               0.001054
                     16,                 1.1536,                  1.277,                 1.6461,                0.50663,                0.93757,                0.66295,                0.50157,                 0.9426,                 1.1284,                 1.2698,              0.0010069,              0.0010069,              0.0010069
                     17,                 1.1318,                 1.2356,                 1.6203,                0.62296,                0.92792,                0.82651,                0.65524,                0.80057,                0.98661,                 1.1985,             0.00095972,             0.00095972,             0.00095972
                     18,                 1.1113,                 1.1942,                  1.615,                0.59922,                0.92718,                0.84205,                0.67307,                0.77482,                0.98707,                 1.1825,             0.00091256,             0.00091256,             0.00091256
                     19,                 1.0784,                 1.1291,                 1.5774,                0.84951,                0.87686,                0.91867,                0.73123,                 0.7813,                0.85063,                 1.1993,             0.00086541,             0.00086541,             0.00086541
                     20,                 1.1035,                 1.0967,                 1.6052,                0.76811,                0.83012,                0.88595,                 0.7133,                0.72274,                0.83323,                 1.1622,             0.00081826,             0.00081826,             0.00081826
                     21,                 1.0498,                 1.0276,                 1.5454,                0.82806,                0.90562,                0.94224,                0.76153,                0.73231,                0.75484,                  1.232,             0.00077111,             0.00077111,             0.00077111
                     22,                 1.0324,                 1.0114,                 1.5487,                0.92623,                0.93369,                0.97114,                0.79013,                0.71807,                0.68119,                  1.143,             0.00072395,             0.00072395,             0.00072395
                     23,                 1.0071,                0.98416,                 1.5158,                0.96006,                0.90146,                0.97986,                 0.8045,                0.72554,                0.68512,                 1.1502,              0.0006768,              0.0006768,              0.0006768
                     24,                0.97037,                0.92465,                  1.484,                0.95005,                0.89908,                0.98752,                0.82994,                0.65518,                0.59466,                 1.0781,             0.00062965,             0.00062965,             0.00062965
                     25,                0.94344,                0.87596,                 1.4607,                0.97334,                0.93822,                 0.9844,                0.84075,                0.62977,                0.54358,                 1.0625,              0.0005825,              0.0005825,              0.0005825
                     26,                0.71883,                0.63409,                  1.197,                0.97626,                0.98862,                0.99093,                0.85515,                0.59135,                0.49798,                 1.1004,             0.00053535,             0.00053535,             0.00053535
                     27,                0.71177,                0.56551,                 1.1955,                0.91574,                0.89994,                0.98487,                0.83282,                0.61376,                 0.6092,                 1.0616,             0.00048819,             0.00048819,             0.00048819
                     28,                0.68043,                0.51022,                 1.1429,                0.99083,                0.99308,                0.99319,                0.87165,                0.54494,                0.43456,                 1.0374,             0.00044104,             0.00044104,             0.00044104
                     29,                0.64157,                0.49206,                 1.1266,                0.81681,                0.92708,                 0.9729,                0.84095,                0.56195,                0.61298,                 1.0504,             0.00039389,             0.00039389,             0.00039389
                     30,                0.61296,                0.46898,                 1.1078,                 0.9711,                0.97998,                0.99147,                0.87149,                0.53439,                0.42134,                  1.041,             0.00034674,             0.00034674,             0.00034674
                     31,                0.61236,                0.45471,                 1.0962,                0.97971,                 0.9768,                0.99347,                0.87746,                0.53869,                0.42524,                 1.0186,             0.00029958,             0.00029958,             0.00029958
                     32,                0.58452,                0.43732,                 1.0888,                0.99019,                0.99542,                0.99276,                0.88185,                0.51247,                0.36504,                 1.0183,             0.00025243,             0.00025243,             0.00025243
                     33,                0.57071,                0.40253,                 1.0762,                0.99256,                0.99561,                 0.9931,                0.88451,                0.48569,                0.35095,                  1.011,             0.00020528,             0.00020528,             0.00020528
                     34,                0.55887,                0.40369,                 1.0616,                0.98976,                0.99247,                0.99424,                0.88993,                0.47977,                0.36012,                0.98981,             0.00015813,             0.00015813,             0.00015813
                     35,                0.53695,                0.39444,                 1.0519,                0.96951,                0.97931,                0.99049,                0.88775,                0.47634,                0.37603,                0.99613,             0.00011097,             0.00011097,             0.00011097
